	ä	u	i	a	e	ə	o
ɦ	ሀ	ሁ	ሂ	ሃ	ሄ	ህ	ሆ
l	ለ	ሉ	ሊ	ላ	ሌ	ል	ሎ
ħ	ሐ	ሑ	ሒ	ሓ	ሔ	ሕ	ሖ
m	መ	ሙ	ሚ	ማ	ሜ	ም	ሞ
ɬ	ሠ	ሡ	ሢ	ሣ	ሤ	ሥ	ሦ
r	ረ	ሩ	ሪ	ራ	ሬ	ር	ሮ
s	ሰ	ሱ	ሲ	ሳ	ሴ	ስ	ሶ
ʃ	ሸ	ሹ	ሺ	ሻ	ሼ	ሽ	ሾ
qʼ	ቀ	ቁ	ቂ	ቃ	ቄ	ቅ	ቆ
b	በ	ቡ	ቢ	ባ	ቤ	ብ	ቦ
t	ተ	ቱ	ቲ	ታ	ቴ	ት	ቶ
ʧ	ቸ	ቹ	ቺ	ቻ	ቼ	ች	ቾ
χ	ኀ	ኁ	ኂ	ኃ	ኄ	ኅ	ኆ
n	ነ	ኑ	ኒ	ና	ኔ	ን	ኖ
ɲ	ኘ	ኙ	ኚ	ኛ	ኜ	ኝ	ኞ
ʔ	አ	ኡ	ኢ	ኣ	ኤ	እ	ኦ
k	ከ	ኩ	ኪ	ካ	ኬ	ክ	ኮ
x	ኸ	ኹ	ኺ	ኻ	ኼ	ኽ	ኾ
w	ወ	ዉ	ዊ	ዋ	ዌ	ው	ዎ
ʢ	ዐ	ዑ	ዒ	ዓ	ዔ	ዕ	ዖ
z	ዘ	ዙ	ዚ	ዛ	ዜ	ዝ	ዞ
ʒ	ዠ	ዡ	ዢ	ዣ	ዤ	ዥ	ዦ
j	የ	ዩ	ዪ	ያ	ዬ	ይ	ዮ
d	ደ	ዱ	ዲ	ዳ	ዴ	ድ	ዶ
ʤ	ጀ	ጁ	ጂ	ጃ	ጄ	ጅ	ጆ
g	ገ	ጉ	ጊ	ጋ	ጌ	ግ	ጎ
tʼ	ጠ	ጡ	ጢ	ጣ	ጤ	ጥ	ጦ
ʧʼ	ጨ	ጩ	ጪ	ጫ	ጬ	ጭ	ጮ
pʼ	ጰ	ጱ	ጲ	ጳ	ጴ	ጵ	ጶ
ʦʼ	ጸ	ጹ	ጺ	ጻ	ጼ	ጽ	ጾ
ƛʼ	ፀ	ፁ	ፂ	ፃ	ፄ	ፅ	ፆ
ɸ	ፈ	ፉ	ፊ	ፋ	ፌ	ፍ	ፎ
p	ፐ	ፑ	ፒ	ፓ	ፔ	ፕ	ፖ
